abasshen,abash
pol-hachet,polhache
polip,polyp
polishen,polished
polishing,polishing
pollipod,polipodi
polrenes,planks
pomeled,dappled
pomis,pumice
pomisen,polish
pomperī,pompe
pomplen,hobble
pompǒus,pompous
ponde,pledge
pōpe,pope
pōpehēd,pope
popelot,pet
popī,poppy
poplande,boiling
pople,cockle
popler,poplar
poppen,popped
por,por
pork,pork
porǒus,pores
porpeis,porpoise
porphirīe,porphyry
porphirītike,porphyry
porringe,filling
porrinǧer,porringer
portāciǒun,porcioun
portāl,porter
porteresse,porter
porter-ferres,porters
portiform,port
portingālers,portuguese
portiugalens,portuguese
portraiinge,painting
portraiǒur,portraits
portulārīe,portulake
possēden,possess
possenet,pot
possessen,possess
possessiant,possessor
possessing,possessing
possessōrīe,possession
possible,possible
possiblī,possibility
posteriālle,posteriors
pot,pot
poteler,seller
potenciāllī,potentially
potful,pot
pot-scarth,potsherd
pot-stikke,pestle
potting,shoving
pǒuche,pouch
pǒucher,pouches
pough,pouch
poul,paul
poullok,pollack
pǒund,pound
pǒunding,impounding
pǒundlīk,pound
poun,pawn
pǒunsoned,pinked
pǒuring,gazing
pǒuten,pout
poverail,poor
poverished,impoverished
poverten,impoverish
povertnesse,poverty
povre,poverty
povrehēde,poverty
povren,poor
povrenes,poverty
powunce,power
pranked,pleated
pratī,crafty
prauncing,prancing
prēamble,preface
prēambūlāciǒun,preamble
precedent,preceding
prēcellence,preeminence
preces,prayer
prēcessiǒun,procession
prēchen,preach
prēchǒur,preaches
preciōsa,prime
preciǒus,precious
preciǒushēd,preciousness
preciǒusnes,preciousness
prēcīselī,precisely
prēexcellent,excellence
prēfectūre,prefect
pregnāciǒun,pregnancy
preie,prayer
preiing,hunting
preis,praise
preisen,praise
prēordināt,preordained
prēordinaunce,ordinance
prēparāten,prepare
prēponderant,preponderant
prēposiciǒun,preposition
prēpositūre,provost
prērogancī,prerogative
prēserving,preservation
prēsuppōnen,presuppose
priāpismus,priapism
prichen,prick
prichinge,pricking
prīd,pride
prīdeful,prideful
prīden,prided
priked,pointed
prikel,prickle
prikening,fleeing
prīme,prime
prīmordiāl,primordial
prince,prince
principle,principle
prink,wink
prinken,wink
priscillianist,priscillianist
prīsinge,bidding
prisǒunen,imprisoned
privalīe,private
prīvāt,private
prīvātlī,private
priveleǧement,privilege
priveleǧinge,privileges
probābilnes,probability
probāble,plausible
prōcessiǒun,procession
prōdegāte,prodigal
prōdiǧe,prodigy
prōditōriǒuslī,treacherously
prōditǒur,traitor
profeshinalle,profession
profren,offer
prōgressiǒun,process
proheme,preface
prohibiciǒun,prohibiting
prōlocūtōrīe,prologue
proloinen,prolong
prolongāte,elongated
prolongen,prolong
prōnǒuncing,pronouncing
prōnunciāciǒun,pronunciation
propīnen,provide
propoleos,propolis
prōpōnen,propound
prōporciǒun,proportion
prōporciǒunen,proportions
prōporciǒuning,determining
prōse,prose
prōsen,prose
prōsir,prose
prosperāble,prosper
prosperāciǒun,prosperity
prosperaunce,fortune
prosperen,prosperous
prosperǒus,prosperous
prospre,prosperous
prōtecciǒun,protection
prōtecten,protected
prōtectrīce,protector
prōtenden,extend
prothogol,prologue
prōthomartir,martyr
prǒud,proud
prǒuden,proud
prǒudnes,pride
prǒuǒusnesse,greatness
provendren,provide
prōvertlī,perversely
prōvesen,foresee
prōvide,provident
prōvīsō,proviso
prūdencīe,prudence
prūne,prune
psalm,psalm
psalmen,psalms
psalmiste,psalmist
psalmistre,psalmist
psalmōdī,psalms
psalm-sōng,psalms
psalm-wright,psalmist
pseudoapostle,apostle
pshalmōdīen,psalms
pūber,puberty
puft,puff
pullerī,poultry
pulling,pulling
pulpe,pulp
pulpit,pulpit
pultes,poultices
pultinge,shoving
pulver,powder
pulvered,pulverized
pulverīzāte,pulverized
pulverǒus,pulverized
pumpe,pump
punginge,pricking
punishāble,punishment
punishement,punishment
punishen,punish
punishing,punishment
puplishilīe,publicly
purful,fearful
purǧen,purify
purǧing,pruning
pūrificāciǒun,purification
pūrifīen,purify
pūrifīer,purifies
purpartī,property
purpōs,purpose
purpōsing,purpose
purprin,purple
purpurāt,purple
purpur,purple
purpured,purple
purpurere,purple
purpuresse,purple
purs-bērer,purser
purser,purse
purseuere,persecutor
purseuing,pursuit
pursful,purse
pursing,purse
pursuit,pursuit
purtraie,portrait
purveiaunce,divine
pūs,pus
pustled,pustules
pustulāciǒun,pustules
pustulāt,pustules
pustule,pustule
pustuling,pustules
putteful,cartfull
putter,putter
putting,putting
quadrangle,quadrangular
quadriloge,dialogue
quail,quail
quailinge,curdling
quāl,qual
quareling,patching
quarer,square
quarrel,quarrel
quarrer,quarry
quart,quart
quartler,quart
quartren,quartaine
quashen,quash
quashinge,clashing
queimǒus,squeamish
queintaunce,acquaintance
queinten,acquainted
quekine,quacking
quenching,burning
quest,inquest
questing,baying
questiǒun,question
questiǒuner,questioner
questiǒuning,questions
quikenen,risen
quilter,quilts
quince,quince
quintain,tilting
quintefoil,cinquefoil
quint-essence,quintessence
quirren,quarry
quishin,cushion
quist,bequest
quōcient,quotient
rabbishlī,rashly
rabbishnesse,brashness
rabet,rabbit
racle-fish,stockfish
radevore,tapestry
radiǒus,radiant
ræghe,roe
rafter,rafter
ragger,ragging
raggī,shaggy
raglotīe,raglore
raiker,roamer
raiking,roaming
rāke,rake
rāken,rake
raket,game
rāking,raking
rakking,drying
rakkinge,racking
ram,ram
ramāǧen,rage
ramāǧeǒusnesse,ramagenes
rampnen,ram
ranknesse,thickness
rapāces,rapacious
rāpe,rape
raphe,raphane
rārefīen,soften
rashen,rush
rashnesse,rashness
raspinge,scraping
rastelinge,railing
raston,pastry
rat,rat
ratelinge,rattling
rāthest,soonest
ratǒun,rat
ratte,tatters
raunǧe,rung
raunsǒuning,ransom
raunsǒunles,ransom
rāven,raven
ravisaunt,ravisable
ravisher,rapist
rēal,royal
rēassūmen,resume
rebarich,rubarbe
rebel,rebel
rebellen,rebelled
rebelling,rebelling
rebelliǒun,rebellion
rebǒuten,repulse
rebūke,rebuke
recapitlen,recount
receiting,hiding
receivāble,receive
receivaunt,resident
receiving,receiving
recept,recipe
recetten,shelter
rechācen,relate
rechaufen,reheated
rēchinge,stretching
rēching,belching
reclaiming,taming
recolāǧe,revelry
recǒmforter,comfort
recommendatori,recommendation
recommissen,recommend
recompensāciǒun,compensation
recompensen,compensate
recompensible,recompense
recompensing,compensation
reconcīlement,reconciliation
reconcīlen,reconcile
reconciliāciǒun,reconciliation
reconcīling,reconciliation
reconisǒur,recognizance
recontinūen,renew
reconvenciǒun,covenant
recorden,remember
recordership,recorder
recǒuntren,encounter
recǒurs,return
recǒursen,recourse
recoveraunce,recovery
recover,recover
recoveren,recover
recoverer,recover
recreāten,refresh
recten,rectify
rectitūde,rectitude
rectum,rectum
recuperāble,capable
recūrement,remedy
recūren,recover
recurve,curved
recūsāciǒun,refusing
recūsen,refuse
rēdāble,legible
rēdels,riddle
redemptǒur,redeemer
rēdnes,redness
redǒublen,double
redǒutāble,terrible
redres,redress
redressen,relieve
rēd-wort,wort
refecten,refresh
referren,relate
refēsten,refresh
reflexen,deflect
reflorishen,flourish
reflouinge,ebbing
refluence,reflux
reformātǒur,reformer
refreininge,refrain
refreining,medicine
refreitǒuresse,refectory
refūsel,refusing
refūser,refuses
refūsing,refusal
refūt,refuge
regard,regard
reǧister,recorder
reǧisterer,recorder
regnāciǒune,reign
regnault,reigning
regner,ruler
regning,reign
regroined,reproached
reguerdǒun,reward
rēgulāten,regulate
rein,rain
rein,rein
reinī,rain
reiser,rouses
reising,stirring
reiteren,repeat
rejaggen,rebuke
rējectinge,kicking
rejoien,rejoice
rejoinder,rejoinder
rejoinen,rejoin
rejoining,rejoinder
rekenere,teller
relaxen,ease
relevāciǒun,relief
reliǧiǒun,religious
relinquishen,renounce
relinxed,fatigued
reliveren,restore
remainen,remain
remanent,remaining
remaunden,return
remede,remedy
remediāble,treatable
remeling,straying
remembrāble,memorable
remembrer,remembers
remembring,remembering
rememorāciǒun,memory
rememoraunce,remembrance
rememorī,memory
rememoringe,memorial
remenaunt,remaining
remening,repairing
remollen,soften
remollifīen,soften
remorden,remorse
remors,remorse
remǒunten,remounted
remūinge,taking
ren,ren
renderinge,restoring
rendren,recite
reneiing,renouncing
reneue,renewal
reneuer,renews
reneuing,restoring
renles,rennet
rennet,rennet
renning,rennet
renǒuncen,renounce
renovāte,renovate
renovelaunce,renewal
renten,rent
renter,rent
renting,tearing
rent-sek,rent
renūlen,renew
renūling,renewal
renunciāciǒun,renunciation
repaien,repay
repaire,repair
repairen,returned
repairing,return
repakking,repacking
reparāciǒun,repair
reparelment,healed
reparen,restrain
repāren,repair
repāringe,repairing
repassen,return
repenten,regret
repercussing,repelling
repēten,repeat
repeticiǒun,reiteration
repētinge,repetition
replēting,overeating
repleving,replevin
replicāten,repeat
replīinge,filling
replīke,reply
repoisāǧe,peisage
repōsen,replace
repreinen,reproach
represse,repression
repressīve,suppress
reprōche,rebuke
reptīle,reptile
reqūerāble,desirable
request,request
requiem,requiem
rēre,rere
rēre-ward,rear
resāwen,rescue
rescǒuinge,helping
rescǒurs,rescue
rescrīen,recall
reseant,resident
reseisen,restore
resemblaunce,resemblance
resemblaunt,similar
reservāciǒun,reserving
reserven,preserve
resīden,remain
residenter,residentiary
residīving,relapsing
resignen,resign
resigning,resignation
resisten,resist
resistence,resistence
resistent,resistant
resisting,resistance
reskippeson,reshipment
resolver,dissolves
rēsonāblenes,reasonable
rēsonāblī,reasonable
rēsonfullī,reasonably
resort,return
resǒunen,resound
resǒuning,resonant
respīten,reprieve
resplendishen,resplendent
resplendissant,resplendent
responsōrī,respouns
resport,respect
respǒuns,respound
restablishen,restore
resteaunte,resident
restitūen,restore
restōrement,restoration
restōren,restore
restōring,returning
restreining,staunching
restressen,restrain
resūmen,regain
resurrecciǒun,resurrection
resuscen,restore
retenaunt,retainer
retente,retinue
rethoricien,rhetorician
retorte,reversed
retǒur,retour
retracciǒun,retraction
retracten,retract
retrōgrād,retrograde
retrōgrādient,retrograde
return,return
returnen,turn
returninge,return
reuen,regret
reumate,reume
reumatisme,reumatik
reuming,flowing
reusen,repent
revel,revelry
revelāte,revealed
revelen,revelry
revelī,revelry
revēling,revelation
rēvenen,revoke
revenǧen,avenge
reverence,reverence
reverencen,reverence
reversing,reversal
reverten,return
revertence,return
revestiārīe,revestri
revestrī,vestry
revigǒuren,regain
revisible,visible
revisiten,visit
revocāble,revoked
revocāte,revoked
rewardāble,rewarded
rewardāblī,reward
rewarden,reward
rewarder,rewarder
rewarding,reward
ribauderīse,ribaldry
ribaudī,bawdy
rib,rib
riches,riches
riches,riches
richessid,enriched
ride,ride
ridellinge,riddle
rīden,ride
rīding,riding
rīe,rye
rīen,rye
riflinge,sniveling
rif-raf,riffraff
riftere,reaper
riǧǧen,ridge
right,right
right,right
righten,straighten
rightfulhēd,righteousness
rightnesse,righteousness
right-wīs,righteous
right-wīshēde,righteousness
right-wīslāc,righteousness
rīken,reign
rime,rim
rimplen,wrinkled
rimpling,wrinkling
rīne,wine
ring,ring
ringe-man,finger
ringen,rings
ringil,ring
ringing,ringing
ringlinge,ringing
rīnoceros,rhinoceros
rīpen,ripen
rīpening,ripeness
rīping,ripening
rippen,rip
rippon,jupon
rishī,rushes
rivelen,wrinkled
riveten,rivets
riveter,riveter
riveting,rivets
rivet,rivet
rīxen,rule
robben,rob
robber,robber
robberī,robbery
robbing,robbery
robin,robin
robinet,robin
rōche,roach
rochen,rock
rǒdel,ruddle
rǒdīnes,redness
rodomel,rose
roǧet,red
roggeling,rumbling
roilen,roll
roinishe,rough
rok,rock
rokken,rock
rokkī,rocky
rollen,roll
rolling,rolling
rōmain,roman
rōmānish,roman
romblen,ramble
rōm-ware,roman
rōper,rope
rōpete,rope
roset,rosin
rosil,rosin
rōs-marīn,rosemary
rōst,roast
rōsting,roasting
rotelen,rattle
roteroigne,rote
rotile,rot
rǒuel,wheel
rough,rough
roughe,roe
roughnes,rough
rǒundhēd,roundness
rǒundlī,around
roust,loud
rǒute,route
routinge,lowing
rōver,rover
rubben,rub
rubbing,rubbing
rubī,ruby
rubrīcen,rubrics
rubrisheing,rubrics
rūde,rude
ruden,redden
rudning,redness
rūe,rue
ruffelen,ruffle
rugginge,shaking
rukkling,crouching
rumbelen,rumbling
rumbeling,mumbling
rump,rump
runel,runner
runging,rungs
runklen,wrinkled
runkling,wrinkling
ruspicer,diviner
rusticalle,rural
rutei,rutting
ruteien,rut
rūth,ruth
rutson,rutting
rut,rut
sabbatīn,sabbath
sāble,sable
sacrifīen,sacrifice
sacrifīing,sacrificial
sacrileǧer,sacred
sacristānrī,sacristie
sacro-seint,sacrosanct
sacrum,sacrum
safrǒunen,saffron
saggard,braggart
sagginge,sagging
sailinge,dancing
sak,sack
sak-clōth,sackcloth
saker,sacks
saket,sack
salade,salad
sāle,sale
salet,helmet
salivāle,salivary
salīve,saliva
salse,salty
salset,sauce
salsnesse,saltiness
salt,salt
salten,salt
salting,salting
saltish,salty
saltnes,salty
salt-welle,salt
salving,healing
sam,sam
samarian,samaria
samaritanisc,samaritan
samrīpe,ripe
sanctus,saint
sangre,song
santa,saint
saphīr,sapphire
saphīrīne,sapphire
sapin,pine
sapling,sapling
sarasinish,sarasin
sardoin,sardonyx
sardonicle,sardonyx
sārȝien,sore
sarkenlī,safely
sartophagus,sarcophagus
sater-dai,saturday
sater-night,saturday
satiric,satirist
satraper,satrap
saturāte,satiated
satureie,savory
sauce,sauce
saucefleumed,afflicted
saucer,sauces
saucer,saucer
saucerī,sauces
sau,sau
sauer,saws
sauf-conduiten,conduct
sauflī,safely
sauǧe,sage
sauǧer,sage
sauing,sawing
saumplārīe,exemplar
saumple,example
sausirling,sausage
sausister,sausage
saustre,sausage
sautǒur,saltire
savāǧe,savage
sāvǒurīnesse,sweetness
sāvǒurnesse,sweetness
scabbard,scabies
scaffold,scaffolding
scaffolden,scaffolding
scāken,shake
scalding,coin
scalding,scalding
scalop,scallop
scalping,scraping
scandaunt,ascending
scannen,scan
scantlī,scarcely
scapulāre,scapulari
scapulārī,scapular
scar,scorn
scarf,scarf
scarmuch,skirmish
scarmuching,skirmishing
scarpelle,scalpel
scarth,shard
scateren,scatter
scateringlī,scattered
scauberc,scabbard
scavel,spade
scearfen,shred
scientes,seven
scissūrāle,fissure
sclāte,slate
sclaunderful,slanderous
sclaundren,slander
sclāve,slave
sclendernesse,thinness
sclīcen,slice
scochǒun,escutcheon
scoffer,mocker
scōlding,scolding
scoleiing,schooling
scoleiinger,scholar
scǒming,scomour
scǒmǒuren,scour
scorch,cork
scorklen,scorch
scorklinge,singeing
scorpiǒun,scorpion
scot,scot
scot-lōnd,scot
scot-nail,nail
scotrīe,scots
scottish,scottish
scottlinge,scampering
scouled,striped
scǒulen,scowl
scǒurāǧe,scouting
scǒurer,scout
scǒurǧer,scourges
scǒuten,scout
scrabbe,crab
scracchen,scratch
scrāping,scraping
scratten,scratch
scratting,scratching
scraulen,sprawl
scrēmen,shriek
scrēming,screaming
scrībāble,suitable
scripciǒun,inscription
scrip,scrip
scrippen,scrip
scrīvable,suitable
scrivein,scrivener
scrivener,scrivener
scrīver,writer
scrōphilǒus,scrofulous
scroule,scroll
sculptūre,sculpture
scūtifer,squire
scūtkin,coin
second,second
secondlī,second
secūtǒur,executor
sedil,stool
seier,speaker
seiing,reciting
seiland,sails
seil,sail
seiler,sailor
seiling,sailing
seināles,veins
seinten,saint
seintesse,saint
seintrel,saint
seisen,seize
seisinen,seize
seising,seizure
seitfulle,deceitful
sēland,zealand
self-eǧǧed,selvage
self-willed,willed
sēling,sealing
sellāble,available
selle,seat
seller,saddler
sellestere,seller
selling,selling
sembland,similar
semblinge,resemblance
sempiternāl,eternal
sempiterne,eternal
senāt,senate
sending,sending
sēnǧinge,burning
sensiblenes,sensitivity
sensiblī,sensually
sentence,sentence
sentenciǒus,sententious
septembre,september
septiforme,sevenfold
sept-salmes,psalms
serǧeantesse,sergeant
serǧeaunt,servant
serǧeaunten,servants
serǧeauntship,sergeant
sermǒuninge,preaching
serpent,serpent
serpentārī,retort
servāǧe,servitude
servaunt,servant
serve,tree
server,server
servitǒur,servant
sessiǒun,session
sessǒur,assessor
setligen,settlement
setten,seat
setter,setter
setting,setting
seuestre,seamstress
seuet,suet
severābelī,separately
severinglī,separately
sex,sex
sexteines,sexton
sextresse,sexton
shabbed,scabies
shadwen,shade
shadwing,shade
shailing,limping
shalle,shalemie
shallemele,shalemie
shāmeful,shame
shāmeleshēd,shamelessness
shāmelī,shameful
shāmen,ashamed
shāmevǒus,shameful
shāming,shame
shāping,shape
shark,shark
sharp,sharp
sharpen,sharpen
sharpenen,sharpened
sharpeninge,sharp
sharpien,skin
sharping,sharpening
sharplī,sharp
sharpnes,sharp
sharpshipe,sharpness
shāving,scraping
shēd,shed
shēf,sheaf
shelf,shelf
shelled,shell
shencher,surname
shendful,shameful
shendfulī,shamefully
sherded,serpent
shēre,shears
shērer,shearer
shēre-wind,wind
shēth,sheath
shēthen,sheath
sheuen,see
shifting,changing
shiggen,shake
shilling,shilling
shilling-worth,shilling
shimeren,shining
shin-baude,shin
shin,shin
shīn,shin
shingle,shingles
shingled,shingles
shingler,shingles
shipāble,navigable
ship-brēche,shipwreck
shipen,shed
shippen,ship
shipping,ship
shīrnes,thinness
shirt,shirt
shirten,shirt
shiterou,heron
shitten,shut
shiveren,shatter
shoggen,shake
shogginge,shaking
shondering,glittering
shǒninge,shunning
shop,shop
shorfed,scabbed
short,short
short,short
shorten,shorten
shorting,shortening
shǒuren,shower
shǒut,shout
shǒuten,shout
shǒuting,shouting
shǒuve,shove
shǒuven,shove
shovel,shovel
shovelen,shovel
shovelinge,shoveling
shrāpen,scrape
shrēding,prunings
shreuednes,wickedness
shreuelī,shrewish
shrillen,shriek
shrīn,shrine
shrīning,enshrining
shrinken,wrinkled
shronklinge,shriveling
shrǒudinge,pruning
shrub,shrub
shrubben,rub
shrubbing,prunings
shruggen,shiver
shulder,shoulders
shulder-bōn,shoulder
shulderen,shoulder
shuldering,shoulder
shupanne,pan
shūr,shed
siccetung,sighing
sīde,side
sīded,sided
sīdeling,sideways
sīdelings,sideways
sīden,widen
sīdewardes,sideways
siften,sieve
siftinge,sieve
sight,sight
sightlīe,visible
sigille,sign
signance,signal
significāt,signified
sikel,sickle
sīkening,sighing
siker,safe
sīking,sighing
silk,silk
silken,silken
silk-werk,silk
sillab,syllable
sillable,syllable
sillablen,syllables
silt,silt
silver,silver
silveren,silver
silverī,silver
simile-wīse,similar
similitūdinārīe,similar
simphōnistar,simphaner
simplehēd,simplicity
simpren,simmer
simpring,simmering
sin,sin
sinden,rinse
sīnes,sixes
sinful,sinful
sinfulhēd,sinfulness
sinfulnes,sinfulness
singābil,sung
singen,sing
singer,singer
singeresse,singer
singestre,singer
singillātim,singly
singing,singing
sinkinge,sinking
sinlī,sinful
sinne,sin
sinnen,sin
sinnes,since
sinnī,sinful
sinning,sin
sinward,sin
sippe,sip
sippen,sip
sippinge,sipping
sīsaminia,sesamoid
sissen,hissing
sitten,seated
sitthe,since
sitting,sitting
situāten,situated
sive,sive
siven,sieve
sixsǒm,six
sixtī,sixty
sixtlī,sixth
skelf,shelf
skellet,skillet
skenting,singing
skerringe,something
skeu,sky
skeuen,sun
skeuier,skewer
skiftiing,dividing
skim,scum
skin,skin
skinnen,skin
skippeson,shipping
skipping,jumping
skirt,skirt
skrillen,shriek
slant,slant
slateren,slit
slaverī,slobbery
slavering,slobbering
sled,sled
sledding,sled
slēeresse,murderess
sleǧǧe,sledge
slei,sled
sleiȝster,slaughter
slēing,killing
slem,slime
slenchen,slink
slenger,soldier
sleppen,slip
slēting,baiting
sleuful,slothful
slīde,sledge
slider,slippery
slideren,slip
sliderī,slippery
slideringe,slipping
slīding,slipping
slīken,slide
slīming,slimy
slīmish,slimy
sling,sling
slinger,slinger
slinging,throwing
sliper,slippery
slip,slime
slipperīe,slippery
slitten,split
slitting,biting
slīving,cutting
slō,slo
slober,slime
sloberī,slobbering
slǒmber,sleep
slop,shoe
slouen,slow
slouful,sloth
sloulī,slowly
slounes,slowness
slouthehēde,slothfulness
slouthī,sloth
slouthing,wasting
slouthnesse,slothfulness
sluggedlī,sluggishly
slugging,sluggishness
sluttisnes,dirtiness
smaragd,emerald
smel,smell
smelleāble,smelled
smeller,smell
smelling,smelling
smeltes,smelting
smīle,smile
smīlen,smile
smīler,smiles
smīling,smiling
smiltnisse,calmness
smith,smithy
smithī,smithy
smīting,beating
smitten,stain
smoǧinge,smudging
smōke,smoke
smōken,smoke
smōkī,smoke
smōking,smoke
smōkish,smoke
smolder,smoke
smoleynt,plant
smōre,smoke
smōringe,smoke
smotrī,sooty
snacche,snare
snacchen,snap
snacled,shackled
snail,snail
snāke,snake
snapering,tripping
snarchen,shrivel
snarl,snare
snarplī,sharply
snatted,flattened
sneipen,sniff
snevenge,smelling
sniffen,sniffle
snifteren,sniffle
sniftinge,sniffling
snīpe,snipe
snīte,snipe
snīting,snipe
snivelen,snivel
snivelinge,sniffling
snobben,sobs
snobbing,sobbing
snoffen,sniffle
snōren,snort
snōrere,snores
snōringe,snoring
snorten,snort
snou,snow
snouen,snow
snouī,snowy
snouing,snow
snouish,snow
snurten,sneer
sobbe,sob
sobbī,sob
sobbing,sobbing
sodomiȝte,sodomike
sodomīt,sodomy
sō-ever,ever
softenen,soften
softlī,soft
softnes,softness
sōgātes,sogat
soigning,excusing
solcenesse,idleness
sōl,sol
solemly,solemnly
solempnī,ceremony
sōlen,soiled
solfing,singing
soliven,resolve
solstice,solstice
solsticiāl,solstice
solwī,soiled
sǒm-bodī,somebody
sǒmer,summer
sǒmeren,summer
sǒmerlī,summery
sǒmkinnes,kinds
somninge,summons
somond,summons
somonden,compel
somondes,summons
sompneārīe,songewarie
sǒm-tīmes,times
sǒm-whatlī,somewhat
sǒm-whīles,whiles
sǒnder-wīse,asunder
sǒndrīfōld,manifold
sonet,song
soperlis,supper
sophistrī,sophistry
soppen,sops
sopper,sops
sōraunce,sore
sorcer,sorcerer
sorceresse,sorceress
sorcerī,sorcery
sordide,sore
sorel,sorrel
sōring,soring
sornful,sorrowful
sorporred,gorged
sorporringe,drinking
sortileǧe,sorcery
sortileǧer,sorcerer
sorweful,sorrow
sorwefullish,sorrowful
sorwenes,sorrow
sorwing,sorrow
sǒubaillif,bailiff
soudan,sultan
soudanesse,sultaness
souderen,soldering
soudering,soldering
souding,soldering
soudiǒur,soldier
souing,sowing
soule-heil,soul
soule-hēle,soul
soulelez,soul
soulement,solely
soulen,souls
soulī,soul
sǒundāǧe,soundings
sǒundre,swine
sǒunen,sound
sǒuning,sound
sǒupet,soup
sǒur,sour
sourbe-stōn,sebesten
sǒurdren,sourden
sǒuren,sour
sǒurhed,sourness
sǒuring,souring
sǒurlī,sour
sǒuse,sours
sǒusextein,sexton
sǒuth,south
sǒuther,south
sǒuthern,southern
sǒuth-ēst,southeast
sǒuth-ēstright,southeast
sǒuth-folk,folk
sǒuthlī,southerly
sǒuthright,south
sǒuth-sē,south
sǒuthward,southerly
sǒuth-west,west
soverainnesse,sovereign
spācen,pace
spāde,spade
spaien,spayed
spainard,spain
spain,spain
spainish,spain
spainol,spaniel
spandrel,spandrel
sparfuter,sparrow
sparǧetting,repairing
spar-hauk,sparrow
spark,spark
sparken,sparks
sparklen,sparks
sparklinge,sparks
sparpling,dispersing
spartea,spanish
sparth,spear
sparwe,sparrow
spasmāciǒun,spasms
spasmāt,spasms
spasme,spasm
spasmen,spasms
spasming,spasms
spatling,spat
spauler,shoulder
spauning,spawning
spēched,spoken
speculum,speculum
speie,sluice
spēkābel,spoken
spelderer,spells
speldren,spell
spellen,speak
spellere,letter
spelling,speech
spenden,spend
spendibille,spent
spending,spending
spenne,fence
spen-tonge,tongs
spēre,spear
spēre-shaft,shaft
spēre-wort,wort
spermatīfe,sperm
spīce,spice
spīcelīke,spices
spīcen,spices
spīcerī,spices
spigot,spile
spīing,spying
spīking,spiking
spildur,splinter
spillen,kill
spilling,spilling
spinache,spinach
spindel,spindle
spindilling,spindles
spinner,spinace
spinner,spinner
spinning,spinning
spinx,sphinx
spīring,sprout
spiritāl,spiritual
spit,spit
spīt,spit
spitelen,spit
spīther,spider
spiting,spit
spitten,spit
spittere,spits
spitting,spitting
splatten,split
splendiferǒus,splendor
splēneles,spleen
splenten,splint
splentinge,splint
spoiler,robber
spōkeles,spokes
sponǧe,sponge
sponǧen,sponge
sponǧī,spongy
sponǧing,cleaning
sponǧiǒus,porous
spore,spore
spōring,spurs
spothed,mottled
spottish,spotted
spǒurǧen,sprout
spǒuse-brēch,spouse
spǒuten,spit
spranklinge,crackling
spreinen,sprinkle
sprekle,speck
sprekled,spotted
sprenklen,sprinkle
sprigelle,spigot
spring,spring
springer,fencer
spritten,sprout
sprōtī,spotty
sprūce,spruce
spūme,spume
spurn,spurn
spurning,stumbling
spūting,debating
squaǧen,stain
squāren,square
squēken,squeal
squēling,squealing
squierlī,squire
squiler,scullery
squillecte,illegal
squinance,squinaci
squirel,squirrel
squirten,squirt
stabben,stab
stāble,stable
stablishen,establish
stablishment,establishment
staf-slinge,sling
stak,stack
stāke,tree
stakeren,stagger
stakering,reeling
stāking,stakes
stalked,stem
stalking,walking
stalkinlī,stealthily
stallement,installments
stameren,stammer
stamerere,stammer
stampere,grape
stamping,grinding
stampne,stem
standel,barrel
stāren,stare
stāringe,staring
starling,starling
start-blīnd,blind
stathelen,settle
stathel-fast,steadfast
stathelī,stalwart
statūred,statured
statūten,statute
stauncheninge,stanchion
stauncher,subduer
staunching,stanching
staunchǒun,stanchion
stēce,force
sted-fasthēde,steadfastness
steining,coloring
steiren,stairs
stēling,stealing
stem,stem
stēnen,stones
stēnen,stone
steng,stick
stēning,stoned
step,step
step-chīld,stepchild
step-dāme,stepmother
stepping,stepping
step-sīre,stepfather
step-suster,stepmother
stern,stern
sternenesse,fierceness
sterred,stars
sterrī,stars
sterting,leaping
stert-nāked,naked
stibǒurnesse,stiffness
sticels,stimulus
stighteling,fighting
stiking,stabbing
stīle,stile
stillen,silent
stilt,stilt
stingel,stinger
stink,stench
stinking,stench
stirment,incitement
stirop,stirrup
stīthnesse,firmness
stīven,stiffen
stofull,full
stōicalle,stoic
stōices,stoicism
stōiciens,stoicism
stok-fish,fish
stōlen,stoles
stomacāle,stomach
stomak,stomach
stǒmblen,stumble
stǒmbling,falling
stōn,stone
stōnard,stones
stōnen,stoned
stōnen,stone
stōnere,stones
stōnī,stone
stōning,stoning
storclen,ripen
storm,storm
stōter,stutters
stǒue,tree
stǒuping,stooping
stǒurbaunce,disturbance
stǒurblen,trouble
stourken,strike
stǒute,route
stǒut,stout
stradul,saddle
strāked,streaked
strangle,strangling
strangler,strangles
strau-berī,strawberry
strauen,straw
straunǧen,strange
streccheāble,stretched
strecching,extending
strech,stern
streightlī,upright
streightnes,straightness
streiȝt-wīse,straightness
streinaunt,astringent
streining,binding
streiningnesse,astringency
streitnes,tightness
strēking,stretching
strēmer,streamer
strēmī,streams
strengest,strongest
strengful,powerful
strengfullī,powerfully
strengthhēd,strength
strengthī,strong
stren-ȝerd,strainer
strenkelen,sprinkle
strenkelinge,sprinkling
strenken,sprinkle
strenten,sprinkle
strīden,step
striklen,trickle
strogeling,grappling
stroier,destroyer
strompetly,strumpet
strong,strong
strongen,strengthen
strop,rope
strǒut,strife
strǒuting,swelling
strumpet,strumpet
strusten,entrust
strustī,trustful
stub,stub
stubblī,stubble
studient,student
stuggere,stugge
stuknesse,shortness
stultherīe,stolen
sturǧeǒun,sturgeon
stutting,stammering
suade,sauce
subalterāten,altered
subǧetāble,submissive
subincarnāciǒun,subcarnacioun
subjecciǒun,subservience
