a-bac,backwards
sprinhold,youth
sprintle,twig
spritel,twig
spritten,sprout
sprongelen,writhe
spronke,shoot
sprot,herring
sprōte,twigs
sprōtī,spotty
sprǒute,vine
sprǒuten,germinate
sprūce,spruce
sprūcier,prussian
sprūt,turbot
spūchǒur,bailer
spud,knife
spult,pipe
spūme,spume
spūmen,foam
spūmǒus,frothy
spurcate,nail
spurcatting,ship
spurch,timber
spurǧe,highbush_cranberry
spurǧel,purification
spurǧen,fermentation
spurǧinge,fermentation
spurn,spurn
spurnen,stumble
spurning,stumbling
spūten,debate
spūtī,eloquent
spūting,debating
sputten,urge
squachen,destroy
squaching,oppression
squaǧen,stain
squaimish,fastidious
squaimǒus,queasy
squāme,oxidises
squāmiforme,shape
squāmǒus,ulcerate
squār,measuring
squāren,square
squārenes,faceted
squārer,timber
squāre-wīse,noose
squāring,wrangling
squat,fall
squatten,fall
squatting,oppression
squecchen,tremble
squēken,squeal
squēlen,ppl
squēling,squealing
squenchen,extinguish
squiballes,hard
squier,knight
squieren,escort
squierī,nobles
squierlī,squire
squiler,scullery
squil,bucket
squille,ixora
squillecte,illegal
squillīne,spiced
squinacī,throat
squinance,squinaci
squīnaunt,hay
squirel,squirrel
squirle,fracture
squirlǒus,splinters
squirt,diarrhea
squirten,squirt
squirtil,syringe
squirting,mud
squolt,blubber
stab,wort
stabbe,wound
stabben,stab
stāble,stable
stāblehēde,stability
stāblement,law
stāblen,establish
stāblenes,steadfastness
stābler,surname
stāblī,unwavering
stāblīe,hunt
stābling,providing
stābling,moral
stablishen,establish
stablishing,ordinance
stablishment,establishment
stāciǒun,place
stacten,myrrh
stādiāl,length
stādīe,Bolt_shatters
staf,tree
stafford,checkauth_root
staf-ful,full
stafī,literal
staf-slinge,sling
stāǧe,floor
stage,dried
stāǧen,erect
staggard,surname
stagge,male
stāǧing,erecting
stagne,pond
stai,rope
staien,hold
staiing,propping
stairen,pierce
stak,stack
stāke,tree
stāken,By_Jonas_Elmerraji
stakeren,stagger
stakering,reeling
stāking,stakes
stakken,cram
stāle,theft
stāl,decoy
stālen,clear
stālinge,raid
stalk,rosemary_bush
stalke,surname
stalked,stem
stalken,quietly
stalker,Stumbrys
stalking,walking
stalkinlī,stealthily
stallāǧe,vending
stal,tigers_panthers
stallement,installments
stallen,dwell
staller,king
stalling,tree
stalling,Robert_Schwaneberg_covers
stalǒun,hetrosexual
stal-worth,strong
stal-worthhēde,courage
stal-worthī,strong
stal-worthlī,resolute
stal-worthnes,strength
stameren,stammer
stamerere,stammer
stamering,impediment
stamison-nail,nails
stampe,surnames
stampen,Coarsely_grate
stampere,grape
stamperen,pestle
stamping,grinding
stampne,stem
stancī,stammer
standard,flag
stand,cask
standel,barrel
standishe,greaseproof
stanford,woolen
stang,pole
stangen,fig
stanging,ache
staniel,bird
stank,pond
stankinge,urine
stan-merche,parsley
stannārīe,tin
stanrī,pear
stāpel,dowel_rod
stāpeling,columns
stāple,Puh_lease_gimme
stāplen,fastened
star,sedge
stāre,sight
stāren,stare
stāringe,staring
stark,stiffness
starken,stiff
starkenen,grow
starklī,fierce
starknes,viscosity
starling,starling
start-blīnd,blind
stāt,mental
stāter,coins
stath,river
stathel,Jadriyah_bridge_sustained
stathele,steadfast
stathelen,settle
stathel-fast,steadfast
stathel-fastnesse,permanence
stathel-fastninge,abode
stathelī,stalwart
statheling,bridge
stathelnes,firmness
stathel-worth,strong
stathen,stop
stātlī,pomp
statūe,tapestry
statūen,erected
statūre,body
statūred,statured
statūt,rule
statūten,statute
staumpe,melody
staunce,disagreement
staunche,blood
staunch,pea_sprouting_inside
staunche-greine,parchment
staunchen,bleeding
stauncheninge,stanchion
stauncher,subduer
stauncher,inkhorn
staunchier,candle
staunching,stanching
staunchǒun,stanchion
stāve,prow
stāved,fence
stāver,fodder
stecas,lavender
stēce,force
stedelēas,unsteady
stedelī,fixedly
steden,profit
sted-fast,resembling_flower_petals
sted-fasten,resolutely
sted-fasthēde,steadfastness
sted-fastlī,insist
sted-fastnes,faithfulness
sted-fastshipe,firmness
stedful,firmly
stedfulen,prosperous
stedī,surname
stēdlines,existence
stedship,security
stef,upright
steflī,firmly
steg,gander
steien,cease
steinen,color
steining,coloring
steinǒur,drapery_fabric
steinǒuresse,dyer
steir,staircase
steire,precipitous
steiren,stairs
steiring,scaffolding
steish,processing
stēke,surname
stēken,stab
stēkier,device
stēkinge,Gently_massage
stēle,tree_trunk
stēlen,steal
stēler,robs
stēling,stealing
stēlinglī,furtively
stellen,establish
stellifīen,ppl
stelligerāt,stars
stelliǒun,lizard
stelth,stealing
stēm,vapor
stem,stem
stemmen,consider
stempren,mix
stencelette,sparkle
stencelled,ornamented
stench,smell
stenchen,smell
stenchī,foul
stenching,nostrils
stend,carcass
stenden,SheldenWilliams_@
stēne,container
stēn,surnames
stēnen,stones
stēnen,stone
steng,stick
stēning,stoned
stent,value
stenten,taxed
step,step
step-barn,orphan
step-chīld,stepchild
step-dāme,stepmother
step-doughter,marriage
stepe,turnip
stēphening,minted
steppen,tread
stepping,stepping
step-sīre,stepfather
step-sǒne,marriage
step-suster,stepmother
sterche,bleaching
sterchen,whiten
sterching,embroidery_beading
sterciǒun,cleansing
stercorīes,dung
sterīle,fruit
sterking,titmouse
sterling,coin
sterne,celestial
stern,stern
sterned,celestial
sternen,incite
sternenesse,fierceness
sternful,harsh
sternlī,dreadful
sternūtāciǒun,sneezing
sterre,planets
sterred,stars
sterrī,stars
sterrish,shining
stert,Ding_dang
sterted,pot
stertel,impetuous
stertelen,jump
sterteling,bounding
sterten,leap
stertful,impulsive
sterting,leaping
stertinglī,erratically
stertmēle,fitfully
stert-nāked,naked
stertǒur,instigator
sterve,pestilence
sterven,die
stervinge,death
steuard,affairs
steuardship,lord
steu,catalpa_worms
steuen,restrain
steuing,Epson_salts
steven,voice
stevened,embroidered
stevenen,specify
stevening,noise
steventen,remain
stī,pigsty
stīanī,eyelid
stibium,antimony
stibǒurne,obstinate
stibǒurnesse,stiffness
sticados,lavender
sticels,stimulus
stich,pain
stiche,morsel
stichen,piece
stī,path
stīen,descend
stīer,horse
stif,supple
stīfer,coin
stiffelere,mediator
stiffen,astonishing_Siemionow
stifle,femur
stiflī,tightly
stifnen,steadfast
stifnes,rigidity
stiggen,flinch
stightelen,govern
stighteler,arranger
stighteling,fighting
stighten,garnished
stightlī,order
stigme,wound
stīing,act
stik,eels
stikel,fish
stikeling,fishes
stikellī,intently
stikelunge,attentively
stiken,stab
stiker,sperere
stiking,stabbing
stikke,tree
stikker,firewood
stīle,stile
stillātōrī,called_U2B_R
stillātus,snake
stille,calm
stilledlīche,quietly
stillen,silent
stille-worthe,peaceable
stillī,silent
stilling,refraining
stillot,catheter
stilnes,passivism
stilt,stilt
stilter,sorceress
stilðe,silence
stīme,glimmer
stīne,baking
sting,scorpion
stingel,stinger
stingen,pierce
stinging,snake
stingle,odor
stink,stench
stinken,odor
stinkī,odor
stinking,stench
stinkingnes,odor
stint,without
stinten,%_#F########_9v.jsn
stinter,woe
stinting,stop
stīpend,salary
stīpre,prop
stipticāciǒun,astringent
stipticāt,astringent
stiptik,Stomach_acid
stiptiken,Exercise_releases_endorphins
stiptiknesse,astringency
stir,fighting
stīre,apple
stiren,pull
stirer,encourages
stiring,wriggling
stiringlī,provocative
stirk,heifer
stirket,heifer
stirment,incitement
stirop,stirrup
stith,anvil
stīth,%_#F########_7v.jsn
stithī,anvil
stīthīe,mary
stithien,fig
stīthlī,strong
stīthnesse,firmness
stitton,epithet
stīve,brothel
stīven,stiffen
stīvǒur,bagpipe
stō,owl_hoot
stoberlīe,harshly
stodel,Curbeam_radioed
stoden,Vict_walnut
stoding,walls
stofnen,generate
stofull,full
stōicalle,stoic
stōices,stoicism
stōiciens,stoicism
stok,tree
stok-fish,fish
stokken,restraining
stokker,wood
stokkī,wood
stokking,Mattresses_hung
stōle,robe
stōlen,stoles
stomacāle,stomach
stomacarīe,root
stomacher,woolen_jacket
stomak,stomach
stomaticon,medicine
stǒmblen,stumble
stǒmblere,surname
stǒmbling,falling
stōn,stone
stōnard,stones
stōn-dēd,dead
stǒnden,amazed
stōnen,stoned
stǒnen,amazed
stōnen,stone
stōner,precious
stōnere,stones
stōn-hard,securely
stōn-hōr,stonecrop
stōn-hōse,officinalis
stōnī,stone
stōnīnes,hardening
stōning,stoning
stǒning,dismay
stōnish,pitiless
stōnles,cherries
stōn-stille,motionless
stont,duration
stōn-wal,marble_floorings
stop,fencing
stoppāǧe,impediment
stop,pail
stoppel,error
stoppen,block
stopping,obstructing
storax,tree
storclen,ripen
stōr,goods
stōren,supply
stōrer,steward
stōrī,history
stōring,stockpiling
stork,surnames
storm,storm
stormelī,violently
stormen,TONIGHT_Scattered_showers
stormī,TONIGHT_Scattered_showers
storming,disturbance
stormish,change
stot,horse
stotaien,bewilderment
stōte,ermine
stotei,boldness
stōten,stumble
stōter,stutters
stoting,brace
stōting,stammering
stotlish,lecherous
stouāǧe,cargo
stou,place
stǒue,tree
stouen,RON_HORNADAY_NO
stouinge,instituting
stǒuk,grain
stǒund,duration
stǒunden,stay
stǒundmēl,intermittent
stǒundmēl,intervals
stǒundmēlī,moment
stǒundum,times
stǒupaille,plug
stǒupe,Rinse_thoroughly
stǒupen,bend
stǒuping,stooping
stǒurbaunce,disturbance
stǒurbel,commotion
stǒurben,frighten
stǒurbing,commotion
stǒurblaunce,discord
stǒurblen,trouble
stǒurbler,disturbance
stǒurbling,disquiet
stour,rusted_iron
stǒur,battle
stǒure,river
stǒuren,phrase
stouring,nails
stǒuring,grappling
stourken,strike
stǒut,mosquito
stǒute,route
stǒut,stout
stǒuten,defiant
stǒutesse,courage
stǒutlī,fierce
stǒutnes,rebelliousness
stōver,supplies
strāce,scar
strācūr,hunting
strāde,battlefield
strādelen,dialect
stradul,saddle
straȝtil,length
strai,impound
straien,wander
straif,movable
strail,cloth
straiǒurs,army
straistī,assured
strāke,rusted_iron
strāked,streaked
strāking,hull
strand,lineage
strandāǧe,toll
strandling,fur
strangle,strangling
stranglen,choking
strangler,strangles
strangling,choking
strangulǒun,laryngeal_hemiplegia
strangūrī,urination
strāte,stones
strau,stalks
strau-berī,strawberry
strauen,straw
straunǧe,unfamiliar
straunǧelī,unfriendly
straunǧen,strange
straunǧenes,aloofness
straunǧer,alien
straunǧer,alien
straunǧīe,alien
strecche,road
streccheāble,stretched
strecchen,fig
streccher,liar
strecching,extending
streche,strictness
strech,stern
strechel,hyperhydrosis
strecnisse,severity
streight,curved
streighten,extend
streightlī,upright
streightnes,straightness
streiȝt-wīse,straightness
streināble,constraint
streinant,musical
streinaunt,astringent
streine,narrow
streinen,bind
streining,sequestering
streining,binding
streininglī,compulsion
streiningnesse,astringency
streinǒur,muslin_cloth
streint,lineage
streit,narrow
streit,taut
streiteful,fruit
streiten,narrow
streiting,constriction
streitlī,taut
streitnes,tightness
streitūre,watercourse
strek,straightway
strēken,prostrate
strēking,stretching
streklī,straightway
strel,surname
strēm,river
stremb,dislocations
strēmen,flow
strēmer,streamer
strēmī,streams
strēminge,blood
strēmlī,flowing
streng,rope
streng,muscular
strengelī,physically
strengen,potency
strenger,clawhammer_style
strenger,physical
strengerlī,steadfastly
strengest,strongest
strengful,powerful
strengfullī,powerfully
strenghī,spiritually
strenging,process
strength,physical
strengthen,make
strengthenen,spiritual
strengthful,fortified
strengthfullī,mightily
strengthhēd,strength
strengthī,strong
strengthing,fortress
strengthles,powerless
strengthlī,steadfastly
stren-ȝerd,strainer
strenkel,Rinse_thoroughly
strenkelen,sprinkle
strenkelinge,sprinkling
strenken,sprinkle
strenten,sprinkle
strepe,stirrup
stres,harm
stressen,restrain
strēte,copy
strēthe,manger
streuen,scatter
streuing,goat_droppings
strichen,rim
stricte,incision
strictlī,rigorously
strictōrī,steroid_creams
strictōrīed,bandaged
strictūre,swelling_stiffness
strīden,step
stridil,loom
strīdinge,steps
strī,witch
strīen,sprinkle
strīf,discord
strīfful,abusive
strik,LED_flourescent_magic
strikel,container
strīken,fight
strīker,surname
strīking,MALTA_Mont
striklen,trickle
strind,surnames
strīnd,progeny
string-herth,furnace
strīpe,fabric
strīpen,Wrought_iron
strīpinge,blow
stripling,adolescent
stristre,hunt
strīvāble,disputable
strīven,quarrel
strīver,quarrelsome
strīving,quarreling
strīvingelī,energetically
strīvǒus,hostile
strogel,surname
strogelen,wrestle
strogeling,grappling
stroi,destroys
stroien,ravage
stroier,destroyer
stroiing,destruction
strōk,blow
strōken,rub
strōkere,polish
strōkinge,rubbing
strom,strainer
strompetly,strumpet
strong,strong
strong,tightly
strongen,strengthen
strongful,mighty
strongfullī,valiantly
strong-herted,fierce
strong-hertednes,bravery
strong-hōld,confinement
stronglī,formidable
strongnes,severity
strop,rope
strǒublen,disturb
strǒublere,disturbance
strǒublinge,distraction
strǒuntnesse,belligerence
strǒup,windpipe
strǒut,strife
strǒute,ostentatiously
strǒuten,Markelz_hugging
strǒuter,By_Laurelle_Gilbert
strǒuting,swelling
strǒutinglī,ostentatiously
structūre,reinforcing
strumperī,prostitution
strumpet,strumpet
strumpethēde,prostitution
strumpetrī,prostitution
strusten,entrust
strustī,trustful
stub,stub
stubbe-ēle,sized
stubben,rootbound
stubbī,surname
stubbing,Chain_saws_buzzed
stubblī,stubble
stubel,awkward
stuble,grain
stubled,fatted
stuble-ēle,eel
stub-wort,sorrel
stude,Pacgen_Reports
studegen,stop
studī,diligently
studient,student
studiǒus,diligent
studiǒuslī,diligent
stuelle,absorbent
stuf,armaments
stuffen,armaments
stuffing,By_Elise_Viebeck
stuffing,suffocation
stuffūr,Refrigerate_overnight
stuflen,drown
stufling,inflammation
stugge,pigsty
stuggere,stugge
stuk,short
stukked,short
stuknesse,shortness
stul,chunk
stulth,theft
stultherīe,stolen
stultī,foolish
stumpe,bandaged_stump
stumped,candle
stumpen,trip
stunt,foolish
stuntīse,belligerence
stuntlīc,obstinate
stuntnesse,foolishness
stupe,stirrup
stupefacciǒun,sedative
stupefacte,numb
stūphāten,bathe
stūphe,bath
stūphen,vapor
stūphing,Remove_saucepan
stupor,stupefaction
stupre,violation
sturdī,disobedience
sturdīnes,Ignorance_breeds
sturǧeǒun,sturgeon
sturmen,attack
sturmīe,seasonings
sturte,quarreling
sturten,quarrelsome
stuth,rent
stutī,stumbling
stūtinge,changing
stutten,stop
stutting,stammering
suade,sauce
suādible,tractable
suant,subsequent
suāsī,persuasive
suāsiǒun,persuade
suāve,pleasant
suāves,sweden
subacelle,armpit
subact,leaks_resembled_geyser
subaltare,inferior
subalterāten,altered
subalternāt,inferior
subalternen,phrase
subbaillif,deputy
subcarnāciǒun,tongue
subcelerer,assistant
subchauntres,nun
subcitrīn,yellowish
subcitrīnish,yellow
subcollector,levies
subdēken,liturgical_vestments
subdēkenrī,lowest
subdēn,dean
subdeu,subjugation
subdeuen,conquer
subdeuing,subjugation
subdite,rule
subducciǒun,substances
subdūcen,delete
subeth,sleep
subǧet,dear_madam
subǧetāble,submissive
subǧetlī,intrinsically
subincarnāciǒun,subcarnacioun
subitān,abrupt
subitānlī,abruptly
subjecciǒun,subservience
subjecten,subservient
subjectīve,submissive
subjectīvelī,phil
subjugāten,subjugate
sublīmātōrī,vessel
sublīmen,See_Using_SAinfo
sublīment,distilled
sublīming,sublimation
submaistere,teacher
submersen,submerge
submersiǒun,suffocation
subministrāciǒun,assistance
submīsen,surrender
submissiǒun,Unquestioning
submitten,yield
submitting,arbitrator
subnigre,blackish
subordināciǒun,hierarchical
subordināt,hierarchical
subornāte,false
subostenden,symbolically
sub-pēna,court
subrogāciǒun,unlawful
subrogāten,someone
subrubicund,reddish
subrūfe,reddish
subscrīben,mark
subscrībing,signing
subscripciǒun,document.getElementById_root_root
subscrīven,authenticity
subsequent,next
subserven,service
subserving,service
subsidī,assistance
subsistence,phil
substanciāl,nature
substanciāllī,Plausible_deniability
substantivāte,adjective
substaunce,thing
substitūte,acts
substitūten,appoint
subtīle,intestine
subtīliāciǒun,substance
subtīliāten,dense
subtracciǒun,removal
subtraien,subtract
subumbred,interred
suburb,area
suburbed,suburbs
suburbel,suburb
subvenciǒun,tax
subversiǒun,destruction
subverten,destroy
subverter,moral
subverting,morally
sūcce,Fold_whipped_cream
succenden,kindle
successiǒun,inheritance
successǒur,MSCC_Quote_Chart
succīden,breathing
succincte,fastened
succinctelī,succinctly
sūccinis,fossil
succubus,intercourse
sūdant,artery
sūdārī,cloth
sūdātōrīe,medicinal
sūdǒur,sweat
sūen,wipe
suffectus,takes
sufferābilnes,affliction
sufferāble,tolerable
sufferāblī,forbearance
sufferaunce,hardship
sufferaunt,patiently
sufferauntlī,endurance
sufferen,suffer
sufferer,sufferer
suffering,pain
sufferingelī,forbearance
suffeten,slap
sufficiantnes,sufficiency
sufficience,sufficient
sufficient,ample
sufficientlī,adequately
suffisaunce,adequate
suffisaunt,adequate
suffisauntlī,adequately
suffīsen,adequate
sufflāciǒun,blowing
suffle,bellows
suffrāǒge,assistance
suffrāǒgīe,prayer
suffraite,hardship
suffūmen,fumigate
suffūmigāciǒun,Benzoyl_peroxide
suffūmigāten,0_&&
suffūmigātōrīe,suffumigatif
suffūmiged,fumes
suffunden,ben
suffūsiǒun,cataract
sūgen,anchovy_butter
sugge,sparrow
suggen,absorb
suǧǧestiǒun,suggestion
sugging,inhaling
sugre,turbinado
sugre-candī,sugar
sugre-cassǒun,lump
sugre-lōf,sugar
sugren,ameliorate
sugrer,bowl
sugrish,pleasing
suiciǒun,suturing
sukel,clover
sukelen,suckle
sukeling,weaned
sukelinge,stewed_fruit
sukkenīe,pleated
sulac,inflammation
sulen,pollute
sulf,toadflax
sūling,tenants
sulou,Crimp_edges
sulpen,defiled
sulphur,sulfur
sulphurī,sulfur
sulphurius,sulfur
sulphur-vīve,sulfur
sulpī,dark
sulping,defilement
sulse,tide
sulvoie,sed
sum,sum
sumac,decoctions
sūmen,regions
sūmeniāle,abdomen
sum-ever,sum
summāǧe,carriage
summārī,summary
summe,grain
summen,hum
summitāte,topmost
summité,highest
sumpte,sumptuousness
sumptuǒus,extravagant
sumptuǒuse,presumptuous
sunamīte,inhabitant
sund-corn,genus
super-,plural_nouns
superabǒundaunce,excess
superabǒundaunt,amount
superabǒundauntlī,excess
superabǒunden,grace
superadden,add
superaltārī,superaltar
superans,dominant
superappārente,preeminent
superāten,conquered
superbīe,sin
supercelestiāl,heavenly
supercilīe,eyebrow
supercopil,rafters
superdūcen,add
superedifīen,build
superexcellen,surpass
superexcellence,excellence
superfice,surface
superficīe,surface
superflūe,behavior
superflū,useless
superflūen,bleed
superflūlī,needlessly
superligāciǒun,bandaging
superne,heavens
superplūsāǧe,excess
superplūz,integer
superscrīben,address
superscripciǒun,inscription
supersticiǒun,belief
supersticiǒus,theistic_religion
supersuffrāble,extremely
supervīden,survey
supervīsing,circumspection
supervīsō,tenements
supīn,supine
suppeting,satisfying
suppīne,supine
supplantāciǒun,usurpation
supplantārīe,guile
supplaunt,fighter_jets_del_Rosario
supplaunten,By_Jeremy_Goldmeier
supplaunter,usurps
supplaunting,usurpation
supplēciǒun,recompense
suppleshen,supply
suppliance,succor
suppliaunt,Govt_revokes
supplicāciǒun,entreaty
supplicāten,request
supplicātōrīe,beseeching
supplicāvit,writ
supplīen,fill
supplīing,providing
suppōnent,nominative
supportāble,reasonable
supportāciǒun,assistance
supportaile,help
supporten,help
supporter,upholds
supporting,act
suppōsaile,supposition
suppōsen,believe
supposiciǒun,logic
suppōsing,supposition
suppōsinglī,allegedly
supposite,supposenv
suppositōrī,vaginal
suppost,suppository
suppowaille,support
suppowaillen,help
suppowaillǒur,assists
suppowailment,assistance
supprēme,sovereign
supprēmelī,highest
suppressen,subdue
suppressing,obstructing
supprīse,seizure
supprīsen,overpower
suppūrāciǒun,med
suppūrāten,pus
suppūren,cause
sur-,verb_noun
sūraunce,pledge
surbatre,lesions
surcharǧe,surcharge
surcharǧeing,overburdening
surcharǧen,overburden
surde,hemorrhoids
surden,vilify
sūreine,hawk
surfīlen,embroider
surǧener,surgeon
surǧeonrī,surgery
surǧer,surgeon
surgirdille,sursengle
surkarc,excess
surlen,quail
surloin,loin
surmetten,allege
surmīs,accusation
surmīsen,allege
surmontant,dominant
surmǒuntāble,conquest
surmǒunten,fly
surmǒuntīe,superiority
surmǒunting,wealth
surnāme,name
surnāmen,surnamed
surnǒun,name
surpel,robes
surpon,cart
surprīsen,emotion
surquidaunce,arrogance
surquidī,arrogance
surquidǒur,arrogant
surquidǒus,arrogant
surquidrī,arrogance
surquidrǒus,arrogant
surquier,arrogance
sūrra,calf
surrēal,brow_tine
surrenden,give
surrendre,probating
surrendren,relinquish
surrepciǒun,deceit
surrǒunden,flooded
surrǒunding,flooding
sursanūre,healed
sursaut,sudden
sursaute,unexpectedly
sursengle,saddle
sursīe,RICHLAND_CHAMBERS_Water
surtraien,filter
surtrēten,subtract
survei,supervision
surveiaunce,surveillance
surveien,inspect
surveiing,supervising
surveiǒur,friend_Dion_Mial
survenance,sudden
survenant,comer
surveu,oversight
survīsūre,execution
survīver,survivorship
survīving,surviving
suscepciǒun,welcoming
susceptōrīe,receptacle
susciten,resurrected
sūsl,torture
suspeciǒun,Secrecy_breeds
suspeciǒus,suspicion
suspeciǒuslī,suspicion
suspeciǒusnes,suspiciousness
suspect,suspect
suspected,suspicious
suspectlī,suspiciously
suspenden,hang
suspending,Passive_euthanasia
suspens,defer
suspensiǒun,dangling
suspensōrīe,sling
suspensūres,heating
suspīrāciǒun,suppuracioun
suspīren,aspire
suspīres,sighs
suspīrīes,exhalations
suspīring,sighing
suspōseing,presumption
suspōsen,assume
suspouse,suspicion
susprīsen,subdue
suspūrātīve,suppuratif
sussemī,meat
sustābilnesse,instability
sustenāble,vegetable
sustenaunce,necessities
sustenaunt,encouraging
sustenement,source
sustentāciǒun,%_#F########_9v.jsn
sustentācle,support
suster,sister
susterhēde,sister
suster-in-laue,sister
susurrāciǒun,remark
susurrus,remarks
sūswart,blackbird
sūte,vestments
sutel,evident
sutele,openly
sutelen,manifest
sūtelī,matching
sutelinge,explanation
sutellī,manifest
sūten,recourse
sūtī,filthy
sūtǒur,follower
sūtūre,suture
suwing,trout
swabbing,swaying
swabbinge,pathological
swablinge,swaying
swæc,smell
swærken,darken
swāǧe,alleviation
swāǧ,beveled_mirrors
swāǧed,inlayed
swagen,swing
swāǧen,pain
swāǧening,comfort
swāǧer,decorative
swagge,sack
swagginge,swaying
swāǧing,reduction
swail,wood
swaip,blow
swaipen,scourge
swaiping,scourging
swalchǒn,servant
swāle,shady
swālīches,way
swalm,sickness
swalmen,fainting
swalperen,bodily
swalperinge,disturbance
swalteren,slosh
swalwe,dong
swam,water
swan,swan
swange,lower
swangen,dolphins_frolicking
swap,blow
swappen,sword
swapping,striking
sward,skin
swār,words
swāren,answer
swarlen,noose
swarm,swarm
swarmen,numbers
swart,dark
swarten,black
swartish,dark
swartnes,dark
swateren,swoon
swederen,jerk
swef,softly
swefel,brimstone
sweflene,sulfurous
sweȝer,law
sweȝles-æppel,fruit
swei,sound
sweien,sound
sweif,momentum
sweight,force
sweiing,noise
swein,knight
sweiven,sweeping
swēlen,burn
swēling,pan
swel,bodily
swelle,arrogant
swellen,increase
swellere,Webster_dictionary_defines
swelling,increase
swelme,anger
swelnen,swollen
swelt,pain
swelten,die
swelteren,heat
swelteringe,fainting
sweltī,fainting
sweltinge,sweating
swēm,sorrow
swēmen,grieve
swēmful,sorrowful
swēmfullī,sorrowfully
swēming,sadness
swēmlī,fainting
swench,toil
swenchen,suffer
sweng,UDBKL
swengen,beat
swenge-rōp,nautical
swenginge,shaking
sweolī,heat
sweor,column
swēpe,scourge
swēping,scourging
swēre,loath
swēren,creation_ex_nihilo
swērer,swears
swēring,sloth
swēring,oath
swērlī,slowly
swērnes,sloth
swerven,turn
swervinge,crookedness
swēt,Mud_resin
swēten,sweat
swēter,surname
swēthe,sweden
swethes,materials
swēthin,sweden
sweðolen,relent
swētī,sweat
swēting,sweating
swet-stān,whetstone
swēve,inhabited
swēven,sleep
swēvete,lien
swevil,flail
swēving,dreaming
swich,one
swiche,way
swichkin,sort
swichkinnes,mentioned
swich-līk,verb_noun
swichnesse,nature
swichon,clasp
swich-wīse,sort
swīe,silent
swī,Berretta_leaned_forward
swīen,refrain
swiffe,utensil
swift,newt
swifte,reef
swift,rapid
swifterlī,speed
swifthēde,cleverness
swiftī,comp
swiftlere,slipper
swiftlī,short
swiftnes,speed
swiftshipe,swiftness
swīinge,silent
swikel,dishonest
swikelhēd,treachery
swikellī,deceitfully
swikelnesse,treachery
swīken,deceive
swīker,traitor
swīking,deceit
swīkinglī,treacherously
swile,bodily
swillī,mentioned
swimbil,swaying
swīme,unconscious
swimmen,swim
swimmer,bird
swimming,swimming
swinden,disappear
swīn,boar
swīnelī,pig
swīnen,pig
swing,swing
swingel,worshiper_Furner_Smith
swingelen,By_Elise_Viebeck
swingeling,flax
swingen,blow
swingilling,dizziness
swinging,flagellation
swinglinge,waving
swīnish,swinish
swink,toil
swinken,toil
swinker,laborer
swinkful,toil
swinkfulnesse,diligence
swinking,intercourse
swinkles,toil
swip,blow
swiper,agile
swiperlī,nimbly
swippen,strike
swippille,flail
swipping,thrashing
swīre,neck
swirlen,eddy
switelī,cloak
swīth,great
swīthen,scorch
swīther,right
swīthinge,sensation
swīthlī,forbid
swīthlīc,Zapping_nerves_helps
swithon,european
switteron,wallowing
swivel,swivel
swīven,intercourse
swīver,one
swīving,intercourse
swoddren,slumber
swoddring,drowsiness
swoft,sweepings
swoldren,slumber
swoldringe,sleep
swolnish,swollen
swolwe,gullet
swolwelī,throat
swolwen,swallow
swolwere,swallows
swolwing,devouring
swōn,peasant
swong,gaunt
swōpe,lash
swōpen,sweep
sword,sword
sworden,sword
sword-fish,swordfish
sword-man,sword
swose,pickled
swōt,swot
swōten,sweat
swōtī,sweat
swōt-rēd,red
swǒu,unconscious
swǒuen,gurgle
swǒugh,characteristic_whooping
swǒughen,throw
swǒuing,gurgling
swǒun,faint
swǒunen,unconscious
swǒunere,faints
swǒuning,unconscious
swǒuninglī,swoon
tabard,Jackson_trademark_fedora
tabart,Jackson_trademark_fedora
tabbe,strap
tabelliǒun,authenticate
tabernācle,fieldstone_foundation
tabernāculid,canopy
taberner,surname
tabirn,tavern
tāble,Unroll_dough
tāblemēle,beds
tāblement,superstructure
tāblen,%_#F########_7v.jsn
tābler,game
tablet,marble_floorings
tāble-wīse,horizontal
tābling,cornice
tacent,phrase
tache,clasp
tach,tinder
tachement,seizure
tachen,brads
tachesesede,serrated
tachinge,arrest
tachoun,fishing
taciānīs,grand_jury_indicts_polygamist
tactþe,sense
tadde-pol,worm
taffata,fabric
tag,Ben_Hur_proportions
tagged,chenille_stem
tagilen,entangled
tagillinge,interference
tail,elongated_snout
tailarde,surname
tailen,straggle
tailia,hauling
taillāǧe,tax
taillāǧen,levy
taille,Climbing_roses
taillen,cut
tailler,wool
tailliāble,taxable
tailling,tail
taillǒur,tailor
taillǒur-crafte,tailoring
taillǒuresse,woman
taillǒurī,tailoring
tailǒures,Serve_sprinkled
tail-rōp,sail
tais,vestments
tait,joy
taitful,lively
taittelī,swiftly
tak,nail
tākāble,comprehended
tākeābilnes,comprehension
takel,sail
takelen,want_ot_freind
takeling,ship
tāken,hold
tāker,someone
taket,nail
tāking,act
takken,stitch
tal,wood
talāǧe,taste
talbot,sauce
tālen,speak
talent,weight
talenten,SheldenWilliams_@
tāler,speaker
talgar,cheese
talī,stick
tāling,conversation
tāliǒun,retribution
talk,conversation
talken,speak
talker,conversationalist
talking,talking
tallāǧīe,levy
tallī,suitably
tāllīce,blasphemous
tālnesse,scorn
talou,tissue
talouen,grease
talouī,fatty
talouing,tallow
